"0","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_000","<hex:022C0DFF07022903EB0203FF02200203>さん、調子はいかがですか？<hex:02100103>優秀なあなたのことですから、きっと今も多くの人々を守り、<hex:02100103>そして救い続けているのでしょうね。"
"1","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_010","<hex:022C0DFF07022903EB0203FF02200203>さん、調子はいかがですか？<hex:02100103>あ、あなたのご活躍を、アリゼー先輩から聞きましたわ！<hex:02100103>なんと私は、世界の英雄を初任務にお誘いしていたようですね……。"
"2","TEXT_JOBDEFGFF2_00730_Q1_000_000","何を聞く？"
"3","TEXT_JOBDEFGFF2_00730_A1_000_001","近況について"
"4","TEXT_JOBDEFGFF2_00730_A1_000_002","「賢者」とは何か？"
"5","TEXT_JOBDEFGFF2_00730_A1_000_003","「とある賢者の手記」について"
"6","TEXT_JOBDEFGFF2_00730_A1_000_004","キャンセル"
"7","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_020","その節は、本当にありがとうございました！<hex:02100103>あれからギルディヴァンは本国に送還され、取り調べ中です。<hex:02100103>その後、裁きの場に送られ、報いを受けることになるでしょう。"
"8","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_021","私はしばらくエオルゼアの地に留まり、見聞を広めるつもりです。<hex:02100103>そして、いずれは母のような医師を目指そうと考えています。<hex:02100103>……まずは苦手な魔法の克服からですが！"
"9","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_022","ロイファたちも、副作用を抑える研究を続けているようですよ。<hex:02100103>私もときどき彼らを「崖っぷち亭」で見かけるのですが……<hex:02100103>ロイファは早々に潰れ、マホードは淡々と飲み続け……"
"10","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_023","アンセルが酔って暴走しかけたところを、<hex:02100103>崖っぷち亭の店主に取り抑えられる、という酷い有様でした……。<hex:02100103>それにしてもあの店主、いったい何者なのでしょうか……？"
"11","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_030","賢者とは「賢学」を修めた者たちのことです。<hex:02100103>そして、賢学とはシャーレアン魔法大学において創出された、<hex:02100103>医学、エーテル学、魔法学を統合した複合学問のことを示します。"
"12","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_031","その究極の目標は、<hex:02100103>開祖ニュンクレフの教えにある「人の進歩」とされ、<hex:02100103>新旧様々な知識が組み合わされ、術が構成されているのですよ。"
"13","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_032","「医学」により肉体の仕組みを、<hex:02100103>「エーテル学」を通じて魂の仕組みを解き明かし、<hex:02100103>「魔法学」の知恵により、肉体と魂に影響を与えるのです。"
"14","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_033","また、武器としても用いられる「賢具」も特徴的ですわ。<hex:02100103>4本の短杖を組み合わせた魔具の一種ですが……<hex:02100103>その源流は、アダーストーンなのだとか。"
"15","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_034","これは、自然界にある魔力を帯びた石のことで、<hex:02100103>はるか昔は、シャーマンたちがまじない道具にしていたそうです。<hex:02100103>地面に配置して、簡易的な魔法陣として使っていたようですね。"
"16","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_035","しかし現代の賢者は、<hex:02100103>4本の短杖を空中に浮かべて立体的な魔法陣と成す……。<hex:02100103>高度な術式を瞬時に展開する、すばらしい発想ですよね！"
"17","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_040","……そちらの手記をご覧になりましたか？<hex:02100103>隠ぺい魔法がかけられていましたが、すべて解除できました。"
"18","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_041","内容から察するに、手記の書き手はギルディヴァンの妻……。<hex:02100103>ハティアという名の、シャーレアンの賢者だったようです。<hex:02100103>それから、筆跡の異なる新しい部分は恐らく……。"
"19","TEXT_JOBDEFGFF2_00730_LALAHJINJAHL_000_042","これを読んであなたがどう感じるかは、お聞きしないことにします。<hex:02100103>私もいろいろと思うところはありますが、それでも……<hex:02100103>彼女の真摯な想いを継ぐ人が、あなたで良かったと思います……。"
