"0","TEXT_JOBREL007_00206_SEQ_00","ハーストミルのジャルザーンは、「古の武器・ノウス」のさらなる高みについて考えているようだ。"
"1","TEXT_JOBREL007_00206_SEQ_01","ジャルザーンは、「古の武器・ノウス」の強化には、「魂の定着度」を向上させる必要があると考えているようだ。ハーストミルにいる「ゲロルト」に相談してみよう。"
"2","TEXT_JOBREL007_00206_SEQ_02","ゲロルトは気乗りしていない様子だったが、冒険者の巧みな話術により、協力を受け入れてくれた。ハーストミルの「ジャルザーン」に報告しよう。"
"3","TEXT_JOBREL007_00206_SEQ_03","「古の武器」に込められた「魂の定着度」を向上させる方法について、ジャルザーンとともに武具職人ゲロルトと相談した。その結果、「古の武器・ノウス」を特製錬金薬によって絶霊化した状態で、実戦を通じて武器を使い込めば良いことが判明した。そして、ゲロルトは「魂の定着度」を測るための道具、「ゾディアックグラス」を製作してくれた。ハーストミルの「ジャルザーン」に話しかけ、さらなる試練に挑もう。"
"4","TEXT_JOBREL007_00206_SEQ_04","ジャルザーンから「ゾディアックグラス」を受けとった。さっそく、ジャルザーンに強化したい「古の武器・ノウス」を見せて、絶霊化してもらおう。<hex:02100103><hex:02100103>※「ゾディアックグラス」を紛失した場合は、ハーストミルにいる「ドレイク」に話しかけると、再入手することができます。"
"5","TEXT_JOBREL007_00206_SEQ_05",""
"6","TEXT_JOBREL007_00206_SEQ_06",""
"7","TEXT_JOBREL007_00206_SEQ_07",""
"8","TEXT_JOBREL007_00206_SEQ_08",""
"9","TEXT_JOBREL007_00206_SEQ_09",""
"10","TEXT_JOBREL007_00206_SEQ_10",""
"11","TEXT_JOBREL007_00206_SEQ_11",""
"12","TEXT_JOBREL007_00206_SEQ_12",""
"13","TEXT_JOBREL007_00206_SEQ_13",""
"14","TEXT_JOBREL007_00206_SEQ_14",""
"15","TEXT_JOBREL007_00206_SEQ_15",""
"16","TEXT_JOBREL007_00206_SEQ_16",""
"17","TEXT_JOBREL007_00206_SEQ_17",""
"18","TEXT_JOBREL007_00206_SEQ_18",""
"19","TEXT_JOBREL007_00206_SEQ_19",""
"20","TEXT_JOBREL007_00206_SEQ_20",""
"21","TEXT_JOBREL007_00206_SEQ_21",""
"22","TEXT_JOBREL007_00206_SEQ_22",""
"23","TEXT_JOBREL007_00206_SEQ_23",""
"24","TEXT_JOBREL007_00206_TODO_00","ゲロルトと話す"
"25","TEXT_JOBREL007_00206_TODO_01","ジャルザーンと話す"
