"0","TEXT_CLSHRV580_02051_SEQ_00","エーテライト・プラザのムジ・ミュリラーのもとにバジールから知らせが届いたようだ。"
"1","TEXT_CLSHRV580_02051_SEQ_01","ムジ・ミュリラーに届いたバジールからの知らせによると、畑に害虫が増えてしまったようだ。アバラシア雲海のキャンプ・クラウドトップにいる「バジール」と話そう。"
"2","TEXT_CLSHRV580_02051_SEQ_02","バジールと話した。イシュガルドの聖レマノー大聖堂にいる本草学者「マルティノー」に相談しよう。"
"3","TEXT_CLSHRV580_02051_SEQ_03","マルティノーによると、<hex:02280BFF054974656DF231230103>を用いれば、防虫効果が得られるという。「<hex:02280BFF054974656DF231230103>」を10本調達し、キャンプ・クラウドトップの「バジール」に納品しよう。<hex:02280BFF054974656DF231230103>は、アバラシア雲海の伐採場で伐採できる。"
"4","TEXT_CLSHRV580_02051_SEQ_04","バジールに<hex:02280BFF054974656DF231230103>を納品した。エーテライト・プラザの「ムジ・ミュリラー」に報告しよう。"
"5","TEXT_CLSHRV580_02051_SEQ_05","ムジ・ミュリラーもバジールの奮闘を応援しているようだ。これに応えられるよう、園芸師の腕を磨いておこう。<hex:02100103><hex:02100103>※園芸師のレベルが60以上になると、イシュガルドのエーテライト・プラザにいるムジ・ミュリラーから次の園芸師クエストを受注することができます。"
"6","TEXT_CLSHRV580_02051_SEQ_06",""
"7","TEXT_CLSHRV580_02051_SEQ_07",""
"8","TEXT_CLSHRV580_02051_SEQ_08",""
"9","TEXT_CLSHRV580_02051_SEQ_09",""
"10","TEXT_CLSHRV580_02051_SEQ_10",""
"11","TEXT_CLSHRV580_02051_SEQ_11",""
"12","TEXT_CLSHRV580_02051_SEQ_12",""
"13","TEXT_CLSHRV580_02051_SEQ_13",""
"14","TEXT_CLSHRV580_02051_SEQ_14",""
"15","TEXT_CLSHRV580_02051_SEQ_15",""
"16","TEXT_CLSHRV580_02051_SEQ_16",""
"17","TEXT_CLSHRV580_02051_SEQ_17",""
"18","TEXT_CLSHRV580_02051_SEQ_18",""
"19","TEXT_CLSHRV580_02051_SEQ_19",""
"20","TEXT_CLSHRV580_02051_SEQ_20",""
"21","TEXT_CLSHRV580_02051_SEQ_21",""
"22","TEXT_CLSHRV580_02051_SEQ_22",""
"23","TEXT_CLSHRV580_02051_SEQ_23",""
"24","TEXT_CLSHRV580_02051_TODO_00","キャンプ・クラウドトップのバジールと話す"
"25","TEXT_CLSHRV580_02051_TODO_01","イシュガルドのマルティノーと話す"
"26","TEXT_CLSHRV580_02051_TODO_02","<hex:020886E3E802E803FF30E382A2E38390E383A9E382B7E382A2E99BB2E6B5B7E381A702280BFF054974656DF231230103E38292E4BC90E68EA1FF4EE382ADE383A3E383B3E38397E383BBE382AFE383A9E382A6E38389E38388E38383E38397E381AEE38390E382B8E383BCE383ABE381AB02280BFF054974656DF231230103E38292E7B48DE5938103>"
"27","TEXT_CLSHRV580_02051_TODO_03","イシュガルドのムジ・ミュリラーに報告"
"28","TEXT_CLSHRV580_02051_TODO_04",""
"29","TEXT_CLSHRV580_02051_TODO_05",""
"30","TEXT_CLSHRV580_02051_TODO_06",""
"31","TEXT_CLSHRV580_02051_TODO_07",""
"32","TEXT_CLSHRV580_02051_TODO_08",""
"33","TEXT_CLSHRV580_02051_TODO_09",""
"34","TEXT_CLSHRV580_02051_TODO_10",""
"35","TEXT_CLSHRV580_02051_TODO_11",""
"36","TEXT_CLSHRV580_02051_TODO_12",""
"37","TEXT_CLSHRV580_02051_TODO_13",""
"38","TEXT_CLSHRV580_02051_TODO_14",""
"39","TEXT_CLSHRV580_02051_TODO_15",""
"40","TEXT_CLSHRV580_02051_TODO_16",""
"41","TEXT_CLSHRV580_02051_TODO_17",""
"42","TEXT_CLSHRV580_02051_TODO_18",""
"43","TEXT_CLSHRV580_02051_TODO_19",""
"44","TEXT_CLSHRV580_02051_TODO_20",""
"45","TEXT_CLSHRV580_02051_TODO_21",""
